sku,upc,name,brand,category,price,list_price,currency,discount_percentage,available,stock,image_url,product_url,store,description,rating,reviews_count,size,scraped_at
3362981,261102054439,Producto Lácteo Combinado Nutri Deslactosada 1L,Nutri,Lacteos,22.0,25.0,MXN,12.0,True,99999,https://chedrauimx.vteximg.com.br/arquivos/ids/58689957/7501020544398_00.jpg?v=638990891350500000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/producto-lacteo-combinado-nutri-deslactosada-1l-3362981/p,Chedraui,"Nutri Deslactosada adicionada con vitaminas para toda la familia
<div><br><b>Las imágenes del producto son únicamente de referencia, el diseño de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) p",3.8,96,,2025-11-18T17:15:11.045378
3790608,000037906085,Crema Santa Clara Ácida Regular 420ml,Santa Clara,Lacteos,43.5,43.5,MXN,0,True,100,https://chedrauimx.vteximg.com.br/arquivos/ids/57843881/7501055380541_00.jpg?v=638979567588800000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-santa-clara-acida-regular-420ml-3790608/p,Chedraui,"Crema acidificada, consistencia regular.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o vari",3.9,244,,2025-11-18T17:15:11.045410
3698203,750105537457,Crema ácida Santa Clara 420ml,Santa Clara,Lacteos,50.5,50.5,MXN,0,True,99999,https://chedrauimx.vteximg.com.br/arquivos/ids/57658690/7501055374571_00.jpg?v=638978816707500000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-acida-santa-clara-420ml-3698203/p,Chedraui,"Crema Santa Clara Acida Premium 420 ml
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar",4.8,133,,2025-11-18T17:15:11.045417
3685448,000036854486,Crema Ácida Fage de 454g,FAGE,Lacteos,96.0,96.0,MXN,0,True,99999,https://chedrauimx.vteximg.com.br/arquivos/ids/57660935/689544086017_00.jpg?v=638978822405630000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-acida-fage-de-454g-3685448/p,Chedraui,"Crema Ácida Fage 454g
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo aviso",4.5,113,,2025-11-18T17:15:11.045427
3564395,750105536335,Crema Ácida Premium Santa Clara 800ml,Santa Clara,Lacteos,92.0,92.0,MXN,0,True,100,https://chedrauimx.vteximg.com.br/arquivos/ids/57836791/7501055363353_00.jpg?v=638979551832770000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-acida-premium-santa-clara-800ml-3564395/p,Chedraui,"Crema premium acidificada Santa Clara 800g Bote PP
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambia",4.8,404,,2025-11-18T17:15:11.045446
3790620,000037906207,Crema Santa Clara Reducida Grasa 420ml,Santa Clara,Lacteos,43.5,43.5,MXN,0,True,100,https://chedrauimx.vteximg.com.br/arquivos/ids/57843884/7501055380596_00.jpg?v=638979567595070000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-santa-clara-reducida-grasa-420ml-3790620/p,Chedraui,"Crema reducida en grasa.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo av",4.7,191,,2025-11-18T17:15:11.045455
3790609,750105538057,Crema Santa Clara Reducida Grasa 225ml,Santa Clara,Lacteos,23.0,23.0,MXN,0,True,100,https://chedrauimx.vteximg.com.br/arquivos/ids/58051943/7501055380572_00.jpg?v=638980723217200000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-santa-clara-reducida-grasa-225ml-3790609/p,Chedraui,"Crema reducida en grasa.
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o variar sin previo av",4.8,382,,2025-11-18T17:15:11.045459
3242148,000032421484,Crema Ácida Premium Santa Clara 225g,Santa Clara,Lacteos,27.0,27.0,MXN,0,True,99999,https://chedrauimx.vteximg.com.br/arquivos/ids/58197201/7501295650145_00.jpg?v=638983240743330000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-acida-premium-santa-clara-225g-3242148/p,Chedraui,"Crema premium acidificada Santa Clara 225g Bote PP
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambia",3.9,336,,2025-11-18T17:15:11.045465
3790607,000037906078,Crema Santa Clara Ácida Regular 225ml,Santa Clara,Lacteos,23.0,23.0,MXN,0,True,100,https://chedrauimx.vteximg.com.br/arquivos/ids/57843887/7501055380527_00.jpg?v=638979567600400000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/crema-santa-clara-acida-regular-225ml-3790607/p,Chedraui,"Crema acidificada, consistencia regular. 
<div><br><b>*Las imágenes del producto son únicamente de referencia, el diseños de etiquetas y el contenido (ml, L, Kg, g, piezas, etc) pueden cambiar y/o var",3.5,388,,2025-11-18T17:15:11.045476
3019449,750105590237,Producto Lácteo combinado ultra pasteurizado Forti Plus Regular 1L,Fortileche,Lacteos,22.5,22.5,MXN,0,True,99999,https://chedrauimx.vteximg.com.br/arquivos/ids/58189362/7501055902378_00.jpg?v=638983222972070000,https://www.chedraui.com.mxhttps://www.chedraui.com.mx/producto-lacteo-combinado-ultra-pasteurizado-forti-plus-regular-1l-3019449/p,Chedraui,"Producto Lácteo ideal para toda la familia y el desarrollo de los niños. Contiene vitaminas y nutrientes como hierro, acido fólico, vitaminas A, B, D que ayudan al desarrollo y crecimiento de los niño",3.8,368,,2025-11-18T17:15:11.045479
