sku,upc,name,brand,category,subcategory,size,price,list_price,discount_percentage,currency,available,stock_quantity,image_url,product_url,store,description,unit_price,rating,reviews_count,scraped_at,last_updated
MX1000000,750939162168,Delimex Helado 1L,Delimex,Congelados,Helado,1L,68.23,83.66,18.4,MXN,True,130,https://cdn.grocery-store.mx/products/1000000.jpg,https://www.heb.com.mx/producto/1000000,Bodega Aurrera,Delimex Helado 1L - Producto de alta calidad para tu hogar,68.23,4.9,179,2025-11-18T16:20:48.466502,2025-11-18T16:20:48.466520
MX1000001,750490490241,Nivea Papel Higiénico 4 rollos,Nivea,Higiene Personal,Papel Higiénico,4 rollos,41.8,41.8,0,MXN,False,189,https://cdn.grocery-store.mx/products/1000001.jpg,https://www.soriana.com.mx/producto/1000001,La Comer,Nivea Papel Higiénico 4 rollos - Producto de alta calidad para tu hogar,41.8,4.1,436,2025-11-18T16:20:48.466537,2025-11-18T16:20:48.466539
MX1000002,750545935184,Aurrera Verduras Mixtas 500g,Aurrera,Congelados,Verduras Mixtas,500g,53.74,53.74,0,MXN,True,173,https://cdn.grocery-store.mx/products/1000002.jpg,https://www.lacomer.com.mx/producto/1000002,Bodega Aurrera,Aurrera Verduras Mixtas 500g - Producto de alta calidad para tu hogar,53.74,4.1,395,2025-11-18T16:20:48.466549,2025-11-18T16:20:48.466550
MX1000003,750546513048,Ajax Cloro 1L,Ajax,Limpieza,Cloro,1L,21.91,21.91,0,MXN,False,245,https://cdn.grocery-store.mx/products/1000003.jpg,https://www.comercialmexicana.com.mx/producto/1000003,Bodega Aurrera,Ajax Cloro 1L - Producto de alta calidad para tu hogar,21.91,4.0,356,2025-11-18T16:20:48.466561,2025-11-18T16:20:48.466561
MX1000004,750279227054,Zote Detergente en Polvo 1kg,Zote,Limpieza,Detergente en Polvo,1kg,47.02,47.02,0,MXN,True,386,https://cdn.grocery-store.mx/products/1000004.jpg,https://www.walmart.com.mx/producto/1000004,La Comer,Zote Detergente en Polvo 1kg - Producto de alta calidad para tu hogar,47.02,3.9,108,2025-11-18T16:20:48.466570,2025-11-18T16:20:48.466570
MX1000005,750578558079,Wonder Donas 105g,Wonder,Panadería,Donas,105g,26.43,26.43,0,MXN,True,266,https://cdn.grocery-store.mx/products/1000005.jpg,https://www.heb.com.mx/producto/1000005,La Comer,Wonder Donas 105g - Producto de alta calidad para tu hogar,26.43,3.6,164,2025-11-18T16:20:48.466580,2025-11-18T16:20:48.466580
MX1000006,750992701814,Takis Galletas Saladas 200g,Takis,Botanas y Snacks,Galletas Saladas,200g,19.42,21.05,7.7,MXN,True,96,https://cdn.grocery-store.mx/products/1000006.jpg,https://www.comercialmexicana.com.mx/producto/1000006,Walmart,Takis Galletas Saladas 200g - Producto de alta calidad para tu hogar,19.42,3.9,157,2025-11-18T16:20:48.466590,2025-11-18T16:20:48.466590
MX1000007,750156017932,Electrolit Té Negro 1L,Electrolit,Bebidas,Té Negro,1L,22.5,22.5,0,MXN,True,295,https://cdn.grocery-store.mx/products/1000007.jpg,https://www.walmart.com.mx/producto/1000007,Walmart,Electrolit Té Negro 1L - Producto de alta calidad para tu hogar,22.5,3.8,20,2025-11-18T16:20:48.466597,2025-11-18T16:20:48.466598
MX1000008,750962282142,San Rafael Salchicha de Pavo 500g,San Rafael,Carnes y Embutidos,Salchicha de Pavo,500g,69.8,74.46,6.3,MXN,True,152,https://cdn.grocery-store.mx/products/1000008.jpg,https://www.walmart.com.mx/producto/1000008,Soriana,San Rafael Salchicha de Pavo 500g - Producto de alta calidad para tu hogar,69.8,3.8,120,2025-11-18T16:20:48.466605,2025-11-18T16:20:48.466606
MX1000009,750588620215,Nestlé Cereal de Chocolate 350g,Nestlé,Cereales,Cereal de Chocolate,350g,74.89,74.89,0,MXN,True,109,https://cdn.grocery-store.mx/products/1000009.jpg,https://www.walmart.com.mx/producto/1000009,Bodega Aurrera,Nestlé Cereal de Chocolate 350g - Producto de alta calidad para tu hogar,74.89,4.5,320,2025-11-18T16:20:48.466613,2025-11-18T16:20:48.466613
