sku,upc,name,brand,category,subcategory,size,price,list_price,discount_percentage,currency,available,stock_quantity,image_url,product_url,store,description,rating,reviews_count,is_school_supply,is_office_supply,scraped_at,last_updated
ST5000000,750693919727,Sharpie Portaminas 0.5mm 1pz,Sharpie,Escritura,Portaminas 0.5mm,1pz,30.39,42.92,29.2,MXN,True,120,https://cdn.stationery-store.mx/products/5000000.jpg,https://www.lumen.com.mx/producto/5000000,Office Max,Sharpie Portaminas 0.5mm 1pz - Artículo de papelería de alta calidad,4.4,124,True,False,2025-11-18T16:26:42.320197,2025-11-18T16:26:42.320216
ST5000001,750459970034,Herschel Lonchera Térmica 1pz,Herschel,Mochilas y Loncheras,Lonchera Térmica,1pz,178.92,200.14,10.6,MXN,True,19,https://cdn.stationery-store.mx/products/5000001.jpg,https://www.officedepot.com.mx/producto/5000001,Lumen,Herschel Lonchera Térmica 1pz - Artículo de papelería de alta calidad,4.6,197,True,False,2025-11-18T16:26:42.320239,2025-11-18T16:26:42.320241
ST5000002,750410637969,HP Mouse Inalámbrico 1pz,HP,Tecnología y Cómputo,Mouse Inalámbrico,1pz,168.33,168.33,0,MXN,True,95,https://cdn.stationery-store.mx/products/5000002.jpg,https://www.papeleríacornejo.com.mx/producto/5000002,Costco,HP Mouse Inalámbrico 1pz - Artículo de papelería de alta calidad,3.9,61,False,False,2025-11-18T16:26:42.320257,2025-11-18T16:26:42.320258
ST5000003,750685470909,Scribe Cuaderno Doble Raya 100 hojas,Scribe,Cuadernos y Libretas,Cuaderno Doble Raya,100 hojas,36.6,36.6,0,MXN,True,0,https://cdn.stationery-store.mx/products/5000003.jpg,https://www.papeleríacornejo.com.mx/producto/5000003,Walmart,Scribe Cuaderno Doble Raya 100 hojas - Artículo de papelería de alta calidad,4.2,127,True,False,2025-11-18T16:26:42.320269,2025-11-18T16:26:42.320270
ST5000004,750351794545,Sharp Calculadora Básica 1pz,Sharp,Calculadoras,Calculadora Básica,1pz,87.14,106.36,18.1,MXN,True,66,https://cdn.stationery-store.mx/products/5000004.jpg,https://www.lumen.com.mx/producto/5000004,Walmart,Sharp Calculadora Básica 1pz - Artículo de papelería de alta calidad,3.9,272,False,True,2025-11-18T16:26:42.320283,2025-11-18T16:26:42.320284
ST5000005,750275780943,Scotch Pegamento Instantáneo 3g,Scotch,Adhesivos,Pegamento Instantáneo,3g,29.88,29.88,0,MXN,True,125,https://cdn.stationery-store.mx/products/5000005.jpg,https://www.papeleríacornejo.com.mx/producto/5000005,Papelería Cornejo,Scotch Pegamento Instantáneo 3g - Artículo de papelería de alta calidad,4.5,112,False,False,2025-11-18T16:26:42.320295,2025-11-18T16:26:42.320296
ST5000006,750735761243,3M Cinta Masking Tape 1pz,3M,Adhesivos,Cinta Masking Tape,1pz,24.76,24.76,0,MXN,True,0,https://cdn.stationery-store.mx/products/5000006.jpg,https://www.amazonméxico.com.mx/producto/5000006,Office Depot,3M Cinta Masking Tape 1pz - Artículo de papelería de alta calidad,4.2,61,False,False,2025-11-18T16:26:42.320305,2025-11-18T16:26:42.320306
ST5000007,750467069544,Maped Engrapadora Estándar 1pz,Maped,Escritorio y Accesorios,Engrapadora Estándar,1pz,71.56,71.56,0,MXN,True,185,https://cdn.stationery-store.mx/products/5000007.jpg,https://www.officemax.com.mx/producto/5000007,OfficeMax,Maped Engrapadora Estándar 1pz - Artículo de papelería de alta calidad,4.8,89,False,True,2025-11-18T16:26:42.320315,2025-11-18T16:26:42.320316
ST5000008,750255863154,Epson Papel Crepé 10pz,Epson,Hojas y Papel,Papel Crepé,10pz,28.91,36.21,20.2,MXN,True,55,https://cdn.stationery-store.mx/products/5000008.jpg,https://www.papeleríacornejo.com.mx/producto/5000008,Office Max,Epson Papel Crepé 10pz - Artículo de papelería de alta calidad,4.0,237,False,True,2025-11-18T16:26:42.320325,2025-11-18T16:26:42.320326
ST5000009,750668124654,Office Depot Marcadores para Pizarrón 4pz,Office Depot,Pizarrones,Marcadores para Pizarrón,4pz,72.4,72.4,0,MXN,True,179,https://cdn.stationery-store.mx/products/5000009.jpg,https://www.amazonméxico.com.mx/producto/5000009,Office Depot,Office Depot Marcadores para Pizarrón 4pz - Artículo de papelería de alta calidad,4.7,3,False,False,2025-11-18T16:26:42.320337,2025-11-18T16:26:42.320338
